index,id,title,type,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
378,tm43399,Lagaan: Once Upon a Time in India,MOVIE,2001,PG,224,tt0169102,8.1,111053
379,tm147211,The Men Who Stare at Goats,MOVIE,2009,R,94,tt1234548,6.2,131564
380,ts56549,Scare Tactics,SHOW,2003,TV-14,22,tt0339968,6.7,2512
381,tm29555,Friends with Money,MOVIE,2006,R,88,tt0436331,5.8,30186
382,tm93225,Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,2010,PG,100,tt1219342,6.9,82623
383,ts20398,Kath & Kim,SHOW,2002,,24,tt0272397,8.3,4168
384,tm86189,Good Luck Chuck,MOVIE,2007,,101,tt0452625,5.6,89755
385,ts21421,Pocoyo,SHOW,2005,TV-G,11,tt0487849,3.9,93
386,tm104880,Louis C.K.: Hilarious,MOVIE,2010,,84,tt1421373,8.4,11973
387,tm101334,Death at a Funeral,MOVIE,2010,R,92,tt1321509,5.6,49599
388,tm135451,Gifted Hands: The Ben Carson Story,MOVIE,2009,,86,tt1295085,7.6,10210
389,ts20526,The Game,SHOW,2006,TV-14,22,tt10020984,6.6,4417
390,ts30083,Angel Beats!,SHOW,2010,TV-14,26,tt1639109,7.7,13848
391,tm141707,Blood and Bone,MOVIE,2009,R,93,tt0346631,6.7,33051
392,tm103095,Ip Man 2,MOVIE,2010,R,108,tt1386932,7.5,103673
393,ts23835,Masha and the Bear,SHOW,2009,TV-Y,6,tt1884856,7.6,3114
394,tm83786,Like Stars on Earth,MOVIE,2007,PG,165,tt0986264,8.3,188234
395,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,tt1422182,8.1,1740
396,ts27459,The Legend of Bruce Lee,SHOW,2008,,45,tt1059455,7,1422
397,ts20544,Ouran High School Host Club,SHOW,2006,TV-14,23,tt0816397,8.2,9763
398,tm27168,Felon,MOVIE,2008,R,103,tt1117385,7.4,78039
399,ts40702,The Ultimatum,SHOW,2009,TV-14,44,tt1682704,5.4,6
400,ts30288,Mobile Suit Gundam Unicorn,SHOW,2010,TV-14,35,tt1630623,7.8,1291
401,tm114476,Stuart Little 2,MOVIE,2002,G,78,tt0243585,5.5,53746
402,ts21967,Johnny Test,SHOW,2005,TV-Y7,18,tt15061770,5.1,8172
403,ts12701,Code Lyoko,SHOW,2003,TV-G,24,tt0417311,7.3,5109
404,tm130574,Did You Hear About the Morgans?,MOVIE,2009,PG-13,103,tt1314228,4.9,40289
405,ts21695,Iris,SHOW,2009,TV-14,61,tt1399791,7.8,1951
406,ts121176,DreamWorks Shrek's Swamp Stories,SHOW,2010,TV-PG,24,tt6950338,6.5,330
407,ts1893,Ben & Holly's Little Kingdom,SHOW,2009,TV-G,14,tt1436544,7.5,1222
408,ts20535,The Garfield Show,SHOW,2009,TV-G,17,tt1470837,5.3,2499
409,tm160800,Chaos,MOVIE,2005,R,106,tt0402910,6.4,54633
410,ts38159,Wakfu,SHOW,2008,TV-Y7,22,tt1807824,8.1,1469
411,tm22493,Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,2006,,46,tt0865482,7.6,1780
412,tm164557,Initial D,MOVIE,2005,,107,tt0439630,6.3,8536
413,tm112381,Comedian,MOVIE,2002,R,82,tt0328962,6.9,6948
414,tm71119,Delta Farce,MOVIE,2007,PG-13,90,tt0800003,3.6,11138
415,tm134235,One Piece: Strong World,MOVIE,2009,PG-13,114,tt1485763,7.5,5382
416,tm86995,Christmas with the Kranks,MOVIE,2004,PG,99,tt0388419,5.4,49090
417,ts17028,Dinosaur King,SHOW,2007,,21,tt1524993,5.6,720
418,tm137530,Love Happens,MOVIE,2009,PG-13,109,tt4809870,5.6,32837
419,ts25765,Vampire Knight,SHOW,2008,TV-14,25,tt1209393,7.3,5172
420,ts3666,Den-noh Coil,SHOW,2007,TV-Y7,25,tt1033796,7.9,863
421,ts42914,Zig and Sharko,SHOW,2010,,9,tt2046005,6.8,644
422,tm100688,Even the Rain,MOVIE,2010,,104,tt1422032,7.4,13446
423,tm36475,Kabhi Khushi Kabhie Gham,MOVIE,2001,G,210,tt0248126,7.4,48818
424,tm80059,Naruto Shippuden the Movie,MOVIE,2007,PG-13,94,tt0988982,6.7,4016
425,tm22636,Trailer Park Boys: The Movie,MOVIE,2006,R,95,tt0425601,7.1,12831
426,tm30289,Jeff Dunham: Arguing with Myself,MOVIE,2006,PG-13,76,tt0806102,8,3984
427,tm38896,From Within,MOVIE,2008,R,89,tt1063056,5.6,7585
428,tm29269,Jodhaa Akbar,MOVIE,2008,PG-13,213,tt0449994,7.5,32188
429,tm156001,And Then Came Lola,MOVIE,2009,PG,71,tt1123894,3.9,1683
430,ts21664,One on One,SHOW,2001,TV-14,20,tt0284770,7,2303
431,tm73058,Om Shanti Om,MOVIE,2007,PG,162,tt1024943,6.7,42597
432,tm76835,Jab We Met,MOVIE,2007,PG-13,138,tt1093370,7.9,51945
433,ts1464,The Cartel,SHOW,2008,TV-MA,44,tt1260520,8.1,755
434,tm48083,Te quiero,MOVIE,2001,,85,tt0217085,4.8,73
435,tm33981,Bon Cop Bad Cop,MOVIE,2006,PG-13,116,tt0479647,6.5,61
436,tm80339,Naruto: Ninja Clash in the Land of Snow,MOVIE,2004,PG-13,82,tt0476680,6.6,6759
437,ts72322,The Mafia Dolls,SHOW,2009,TV-14,43,tt1585368,6.6,284
438,ts52849,Horrid Henry,SHOW,2006,,12,tt0985991,6.3,912
439,tm165259,I Will Follow,MOVIE,2010,PG-13,76,tt1624426,5.9,865
440,tm97544,Alpha and Omega,MOVIE,2010,PG,88,tt1213012,5.1,14272
